menu_id,store_id,restaurant_name,item_name,category,price_rm,source,is_available,updated_at
r6fa-m02,r6fa,Tasty Porridge KOTA DAMANSARA,Hot Coffee,Drink,5.46,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m03,r6fa,Tasty Porridge KOTA DAMANSARA,Chicken Chop,Main,16.32,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m04,r6fa,Tasty Porridge KOTA DAMANSARA,Seasonal Fruit,Dessert,7.91,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m05,r6fa,Tasty Porridge KOTA DAMANSARA,Soup of the Day,Side,8.54,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m06,r6fa,Tasty Porridge KOTA DAMANSARA,Noodles,Main,12.35,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m07,r6fa,Tasty Porridge KOTA DAMANSARA,Fried Rice,Main,12.16,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m08,r6fa,Tasty Porridge KOTA DAMANSARA,Chocolate Cake,Dessert,10.61,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m09,r6fa,Tasty Porridge KOTA DAMANSARA,Iced Lemon Tea,Drink,5.03,synthetic,True,2026-04-23T01:40:03+00:00
r6fa-m10,r6fa,Tasty Porridge KOTA DAMANSARA,Mixed Salad,Side,9.77,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m01,jb12,Kaw Kaw Pak Kopi,Korean Fried Chicken,Main,24.61,review_mention,True,2026-04-23T01:40:03+00:00
jb12-m02,jb12,Kaw Kaw Pak Kopi,Nasi Lemak Ayam,Main,11.38,review_mention,True,2026-04-23T01:40:03+00:00
jb12-m03,jb12,Kaw Kaw Pak Kopi,Noodles,Main,13.47,review_mention,True,2026-04-23T01:40:03+00:00
jb12-m04,jb12,Kaw Kaw Pak Kopi,Wantan Mee,Main,12.0,review_mention,True,2026-04-23T01:40:03+00:00
jb12-m05,jb12,Kaw Kaw Pak Kopi,Steamed Fish Rice,Main,18.67,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m06,jb12,Kaw Kaw Pak Kopi,Chinese Tea,Drink,2.93,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m07,jb12,Kaw Kaw Pak Kopi,Sweet and Sour Chicken,Main,17.62,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m08,jb12,Kaw Kaw Pak Kopi,Spring Rolls,Side,8.25,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m09,jb12,Kaw Kaw Pak Kopi,Mapo Tofu,Main,16.31,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m10,jb12,Kaw Kaw Pak Kopi,Mango Pudding,Dessert,8.5,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m11,jb12,Kaw Kaw Pak Kopi,Dumplings,Side,9.79,synthetic,True,2026-04-23T01:40:03+00:00
jb12-m12,jb12,Kaw Kaw Pak Kopi,Fried Rice,Main,13.05,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m01,i3ar,Warakuya Japanese Garden,Fried Rice,Main,12.58,review_mention,True,2026-04-23T01:40:03+00:00
i3ar-m02,i3ar,Warakuya Japanese Garden,Sushi Platter,Main,28.6,review_mention,True,2026-04-23T01:40:03+00:00
i3ar-m03,i3ar,Warakuya Japanese Garden,Ramen,Main,22.68,review_mention,True,2026-04-23T01:40:03+00:00
i3ar-m04,i3ar,Warakuya Japanese Garden,Udon Soup,Main,17.67,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m05,i3ar,Warakuya Japanese Garden,Matcha Latte,Drink,7.79,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m06,i3ar,Warakuya Japanese Garden,Gyoza,Side,8.97,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m07,i3ar,Warakuya Japanese Garden,Agedashi Tofu,Side,8.04,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m08,i3ar,Warakuya Japanese Garden,Salmon Don,Main,22.34,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m09,i3ar,Warakuya Japanese Garden,Chicken Teriyaki,Main,18.91,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m10,i3ar,Warakuya Japanese Garden,Chicken Katsu Don,Main,18.84,synthetic,True,2026-04-23T01:40:03+00:00
i3ar-m11,i3ar,Warakuya Japanese Garden,Mochi Ice Cream,Dessert,9.63,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m01,plbj,Restoran Waneeda Tomyam,Tom Yum Seafood,Main,20.49,review_mention,True,2026-04-23T01:40:03+00:00
plbj-m02,plbj,Restoran Waneeda Tomyam,Nasi Goreng Kampung,Main,12.24,review_mention,True,2026-04-23T01:40:03+00:00
plbj-m03,plbj,Restoran Waneeda Tomyam,Teh Tarik,Drink,3.45,review_mention,True,2026-04-23T01:40:03+00:00
plbj-m04,plbj,Restoran Waneeda Tomyam,Pad Thai,Main,18.29,review_mention,True,2026-04-23T01:40:03+00:00
plbj-m05,plbj,Restoran Waneeda Tomyam,Sirap Limau,Drink,3.94,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m06,plbj,Restoran Waneeda Tomyam,Laksa,Main,11.98,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m07,plbj,Restoran Waneeda Tomyam,Kuih Platter,Dessert,7.26,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m08,plbj,Restoran Waneeda Tomyam,Roti Canai Set,Main,8.17,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m09,plbj,Restoran Waneeda Tomyam,Char Kuey Teow,Main,13.28,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m10,plbj,Restoran Waneeda Tomyam,Nasi Lemak Ayam,Main,10.38,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m11,plbj,Restoran Waneeda Tomyam,Cendol,Dessert,6.34,synthetic,True,2026-04-23T01:40:03+00:00
plbj-m12,plbj,Restoran Waneeda Tomyam,Mee Goreng Mamak,Main,9.83,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m01,r49e,Classic Taiwan Braised Pork Rice & Dessert,Korean Fried Chicken,Main,22.68,review_mention,True,2026-04-23T01:40:03+00:00
r49e-m02,r49e,Classic Taiwan Braised Pork Rice & Dessert,Chinese Tea,Drink,2.96,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m03,r49e,Classic Taiwan Braised Pork Rice & Dessert,Mango Pudding,Dessert,8.22,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m04,r49e,Classic Taiwan Braised Pork Rice & Dessert,Mapo Tofu,Main,16.27,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m05,r49e,Classic Taiwan Braised Pork Rice & Dessert,Sweet and Sour Chicken,Main,16.93,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m06,r49e,Classic Taiwan Braised Pork Rice & Dessert,Wantan Mee,Main,12.16,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m07,r49e,Classic Taiwan Braised Pork Rice & Dessert,Fried Rice,Main,11.44,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m08,r49e,Classic Taiwan Braised Pork Rice & Dessert,Dumplings,Side,8.69,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m09,r49e,Classic Taiwan Braised Pork Rice & Dessert,Kung Pao Chicken,Main,16.82,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m10,r49e,Classic Taiwan Braised Pork Rice & Dessert,Spring Rolls,Side,7.25,synthetic,True,2026-04-23T01:40:03+00:00
r49e-m11,r49e,Classic Taiwan Braised Pork Rice & Dessert,Steamed Fish Rice,Main,18.95,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m01,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Tom Yum Seafood,Main,18.52,review_mention,True,2026-04-23T01:40:03+00:00
cso0-m02,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Mango Sticky Rice,Dessert,13.07,review_mention,True,2026-04-23T01:40:03+00:00
cso0-m03,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Fried Rice,Main,13.38,review_mention,True,2026-04-23T01:40:03+00:00
cso0-m04,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Green Curry Chicken,Main,17.32,review_mention,True,2026-04-23T01:40:03+00:00
cso0-m05,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Papaya Salad,Side,10.79,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m06,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Pad Thai,Main,18.11,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m07,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Thai Milk Tea,Drink,7.67,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m08,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Lemongrass Drink,Drink,6.4,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m09,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Thai Fish Cake,Side,10.63,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m10,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Pineapple Fried Rice,Main,17.02,synthetic,True,2026-04-23T01:40:03+00:00
cso0-m11,cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),Thai Basil Chicken Rice,Main,15.1,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m01,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Char Kuey Teow,Main,11.91,review_mention,True,2026-04-23T01:40:03+00:00
ldz4-m02,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Fried Rice,Main,11.99,review_mention,True,2026-04-23T01:40:03+00:00
ldz4-m03,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Noodles,Main,13.62,review_mention,True,2026-04-23T01:40:03+00:00
ldz4-m04,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Chocolate Cake,Dessert,9.43,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m05,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Signature Rice Bowl,Main,14.04,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m06,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Chicken Chop,Main,16.78,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m07,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Mixed Salad,Side,10.64,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m08,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Seasonal Fruit,Dessert,7.8,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m09,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Hot Coffee,Drink,5.24,synthetic,True,2026-04-23T01:40:03+00:00
ldz4-m10,ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,Iced Lemon Tea,Drink,5.12,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m01,t0v0,Omega Pork Noodle | | Kota Damansara,Noodles,Main,13.51,review_mention,True,2026-04-23T01:40:03+00:00
t0v0-m02,t0v0,Omega Pork Noodle | | Kota Damansara,Char Kuey Teow,Main,13.03,review_mention,True,2026-04-23T01:40:03+00:00
t0v0-m03,t0v0,Omega Pork Noodle | | Kota Damansara,Steamed Fish Rice,Main,19.45,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m04,t0v0,Omega Pork Noodle | | Kota Damansara,Sweet and Sour Chicken,Main,16.62,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m05,t0v0,Omega Pork Noodle | | Kota Damansara,Mapo Tofu,Main,15.04,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m06,t0v0,Omega Pork Noodle | | Kota Damansara,Kung Pao Chicken,Main,16.38,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m07,t0v0,Omega Pork Noodle | | Kota Damansara,Dumplings,Side,9.4,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m08,t0v0,Omega Pork Noodle | | Kota Damansara,Mango Pudding,Dessert,8.99,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m09,t0v0,Omega Pork Noodle | | Kota Damansara,Spring Rolls,Side,8.25,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m10,t0v0,Omega Pork Noodle | | Kota Damansara,Fried Rice,Main,12.93,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m11,t0v0,Omega Pork Noodle | | Kota Damansara,Wantan Mee,Main,12.66,synthetic,True,2026-04-23T01:40:03+00:00
t0v0-m12,t0v0,Omega Pork Noodle | | Kota Damansara,Chinese Tea,Drink,3.06,synthetic,True,2026-04-23T01:40:03+00:00
m8do-m01,m8do,Khalifah Bistro,Teh Tarik,Drink,3.93,review_mention,True,2026-04-23T01:40:03+00:00
m8do-m02,m8do,Khalifah Bistro,Nasi Goreng Kampung,Main,11.1,review_mention,True,2026-04-23T01:40:03+00:00
m8do-m03,m8do,Khalifah Bistro,Nasi Lemak Ayam,Main,10.43,review_mention,True,2026-04-23T01:40:03+00:00
m8do-m04,m8do,Khalifah Bistro,Roti Canai Set,Main,8.41,review_mention,True,2026-04-23T01:40:03+00:00
m8do-m05,m8do,Khalifah Bistro,Mee Goreng Mamak,Main,11.22,synthetic,True,2026-04-23T01:40:03+00:00
m8do-m06,m8do,Khalifah Bistro,Sirap Limau,Drink,4.11,synthetic,True,2026-04-23T01:40:03+00:00
m8do-m07,m8do,Khalifah Bistro,Laksa,Main,11.53,synthetic,True,2026-04-23T01:40:03+00:00
m8do-m08,m8do,Khalifah Bistro,Kuih Platter,Dessert,6.94,synthetic,True,2026-04-23T01:40:03+00:00
m8do-m09,m8do,Khalifah Bistro,Cendol,Dessert,6.21,synthetic,True,2026-04-23T01:40:03+00:00
m8do-m10,m8do,Khalifah Bistro,Char Kuey Teow,Main,13.13,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m01,q2yu,Humaira Hotel,Mee Goreng Mamak,Main,9.6,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m02,q2yu,Humaira Hotel,Kuih Platter,Dessert,6.53,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m03,q2yu,Humaira Hotel,Char Kuey Teow,Main,12.52,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m04,q2yu,Humaira Hotel,Nasi Goreng Kampung,Main,10.54,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m05,q2yu,Humaira Hotel,Sirap Limau,Drink,3.98,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m06,q2yu,Humaira Hotel,Laksa,Main,11.04,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m07,q2yu,Humaira Hotel,Teh Tarik,Drink,3.43,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m08,q2yu,Humaira Hotel,Cendol,Dessert,5.8,synthetic,True,2026-04-23T01:40:03+00:00
q2yu-m09,q2yu,Humaira Hotel,Nasi Lemak Ayam,Main,11.34,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m01,qrec,Restoran Zayan Bistro,Roti Canai Set,Main,7.09,review_mention,True,2026-04-23T01:40:03+00:00
qrec-m02,qrec,Restoran Zayan Bistro,Nasi Goreng Kampung,Main,10.7,review_mention,True,2026-04-23T01:40:03+00:00
qrec-m03,qrec,Restoran Zayan Bistro,Char Kuey Teow,Main,12.49,review_mention,True,2026-04-23T01:40:03+00:00
qrec-m04,qrec,Restoran Zayan Bistro,Korean Fried Chicken,Main,22.55,review_mention,True,2026-04-23T01:40:03+00:00
qrec-m05,qrec,Restoran Zayan Bistro,Sirap Limau,Drink,4.07,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m06,qrec,Restoran Zayan Bistro,Kuih Platter,Dessert,6.04,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m07,qrec,Restoran Zayan Bistro,Cendol,Dessert,6.31,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m08,qrec,Restoran Zayan Bistro,Nasi Lemak Ayam,Main,9.69,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m09,qrec,Restoran Zayan Bistro,Laksa,Main,11.23,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m10,qrec,Restoran Zayan Bistro,Teh Tarik,Drink,3.32,synthetic,True,2026-04-23T01:40:03+00:00
qrec-m11,qrec,Restoran Zayan Bistro,Mee Goreng Mamak,Main,10.07,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m01,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,French Fries,Side,7.0,review_mention,True,2026-04-23T01:40:03+00:00
jxoc-m02,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Seasonal Fruit,Dessert,7.76,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m03,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Soup of the Day,Side,8.55,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m04,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Fried Rice,Main,11.5,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m05,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Hot Coffee,Drink,5.77,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m06,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Chocolate Cake,Dessert,10.53,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m07,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Iced Lemon Tea,Drink,4.71,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m08,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Noodles,Main,12.64,synthetic,True,2026-04-23T01:40:03+00:00
jxoc-m09,jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,Signature Rice Bowl,Main,14.4,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m01,vng8,Tako-Za Snacks,Char Kuey Teow,Main,12.75,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m02,vng8,Tako-Za Snacks,Cendol,Dessert,5.89,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m03,vng8,Tako-Za Snacks,Nasi Lemak Ayam,Main,10.56,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m04,vng8,Tako-Za Snacks,Nasi Goreng Kampung,Main,11.39,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m05,vng8,Tako-Za Snacks,Kuih Platter,Dessert,6.87,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m06,vng8,Tako-Za Snacks,Sirap Limau,Drink,4.26,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m07,vng8,Tako-Za Snacks,Teh Tarik,Drink,3.32,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m08,vng8,Tako-Za Snacks,Laksa,Main,11.73,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m09,vng8,Tako-Za Snacks,Mee Goreng Mamak,Main,9.97,synthetic,True,2026-04-23T01:40:03+00:00
vng8-m10,vng8,Tako-Za Snacks,Roti Canai Set,Main,7.58,synthetic,True,2026-04-23T01:40:03+00:00
tmqh-m01,tmqh,My Tomyam Seafood @ Rasta TTDI,Nasi Goreng Kampung,Main,11.13,review_mention,True,2026-04-23T01:40:03+00:00
tmqh-m02,tmqh,My Tomyam Seafood @ Rasta TTDI,Tom Yum Seafood,Main,17.91,review_mention,True,2026-04-23T01:40:03+00:00
tmqh-m03,tmqh,My Tomyam Seafood @ Rasta TTDI,Teh Tarik,Drink,3.7,review_mention,True,2026-04-23T01:40:03+00:00
tmqh-m04,tmqh,My Tomyam Seafood @ Rasta TTDI,Char Kuey Teow,Main,12.75,review_mention,True,2026-04-23T01:40:03+00:00
tmqh-m05,tmqh,My Tomyam Seafood @ Rasta TTDI,Thai Fish Cake,Side,10.29,synthetic,True,2026-04-23T01:40:03+00:00
